t1.id_string,distinct_user,cnt
3576da6239d575cb83f51cb0caf1238d,4,4
399a73230a666e46db0f6d432cf463a5,4,4
4d3faeeaddc2e87229e91cbfe73df737,2,2
57874ccbc1ee413e5c0f02f88a09b527,2,2
66b2545caf0d4e0661ba3c05bcf67160,2,2
712f3a4d1bc810dea028274695437f0a,2,2
7662b7e7d7b249c70aedb3c57b5a25a9,8,8
a41d798eef7f4df7d06183b02a98ca8a,2,2
c2577462eb00bf53ad946ba4944937ff,2,2
f54b0b8b531111f4c540e10a423a2be0,2,2
4b7ff6ad0054bacee1c7b3d6c91b0b8c,2,2
4bcb4de26d4634e6dcadd84453b7cd2b,3,3
4ddd2f38ab796215ed85d661ba414d8b,3,3
4eaa42e8d9395553fc834ff45abcfb26,7,14
5d19b19d1b5735cf65a4ac1a2bbcea6e,2,2
60f0f9d5526cfb1acc730a8457f70655,3,3
71c169de9e48cbeb4220f695fa7266e6,2,2
a5e692c014590ba7e323c1909f18fe19,2,4
a8ee3113eedcb1b75ab2c71190da678a,2,2
c4feac4eed4448012d27649ca5d7d3a3,2,2
1ab67115deecb323741691b579dc8787,3,3
2f2560677c2c343c59b014b39964c281,6,6
4493ed770528aebf30069b1b17d8366a,2,2
68323cb3a7a9a7d424af1dc577ec2521,3,3
77a4a0b323db6df0a12a7dbfbad82d62,2,2
8a82e9d322f168e05c8ffe6fb54a5aab,2,2
8dada8a3fd66ae170edf541aa1f63a48,2,2
db4a969b19a3867a9b8890bcc17d5f72,2,2
f1908a37f0dadb594259e8bcd7625a8e,2,2
1f783cf3f80786ac18eaedfb121e6323,2,2
2070c5ea16f31c5abf8d839b69a71bc8,2,2
258a254346cc1453f56c05cf67273204,3,3
34b0195e1be74cf3f94ba3b63ed0e4a9,2,2
36353c50577959d5ec6b75465a7038b0,2,2
4b44fd8e9cede522c0b7837c18213ba6,2,2
65b3c714605cd751a0c933d96d53a5f9,2,2
6c85f946776d9bcd5906519ffdb016ba,2,2
7efaad9b9b32891496a2d5fd3a98ed0c,3,3
82c2b35c0ee2dd4f284a3a7f36bba27d,2,2
cc3250286067ff7dfa717cdce3937068,2,2
f49b5a68dfcb3145f6b1f151da4153be,2,2
16fd854d75f84f27d16e3c058154d397,3,3
25f9b2ebec5ab06c0dba729d97da9e22,4,4
516d9f0a6666a3a6ecb57ac55fd4687d,3,3
7ab9a413636808c2c52db3b5c6e65237,2,2
d3fd805376a47af6b7ee22584267d694,2,2
ee95034b57114fe5feb2a8663e0b2fcc,2,2
0f587994e36cb27519d5519618b5b4f2,2,2
25a26e48bc40272b7c6b36cf0454721d,2,2
531a2a79aa3b99dbf617f2af4f350ac0,2,2
68897b8c61a438534ef29ba87e7fc8ae,2,2
689d1c1e7d7e127c9d79a7183e324f53,2,2
b73b6ac137a0f45627a6e81049cf91c6,2,2
c0d7774d861debb4bbc17b4b4fdf68b7,3,3
aa2a204e532094c9a9d027264fcfea75,2,2
d50e52283d2fa1aee02e909d5d7cd26c,2,2
e4b78e891cfa6380029e727de12da761,2,2
eabf2809764aad48e074b76e95acb27a,2,2
ed647e58cdfa7e7cadc00eecb5735746,2,2
3471000a43c7376aa58a52b0c891ab9d,2,2
4f4b960f7fedd70d4ec48865908ba0e4,2,2
629f8ae4113707387b674fa34b423eba,2,2
